image,y,x
NI240119_SMI31-488_20x_Pio_05.czi,167.3528789172287,979.0205662624261
NI240119_SMI31-488_20x_Pio_05.czi,200.54106913739562,885.22785477065
NI240119_SMI31-488_20x_Pio_05.czi,509.33553466416606,931.4027281204475
NI240119_SMI31-488_20x_Pio_05.czi,611.7860349090291,805.8647912006855
NI240119_SMI31-488_20x_Pio_05.czi,525.208147378159,589.4200723735102
NI240119_SMI31-488_20x_Pio_05.czi,503.56367549544143,589.4200723735102
NI240119_SMI31-488_20x_Pio_05.czi,80.7749913863585,587.9771075813289
NI240119_SMI31-488_20x_Pio_05.czi,105.3053928534384,29.54973300721616
NI240119_SMI31-488_20x_Pio_05.czi,803.7003522691248,290.7263603920079
NI240119_SMI31-488_20x_Pio_05.czi,920.5805004357995,976.1346366780637
NI240119_SMI31-488_20x_Pio_05.czi,773.3980916333202,1000.6650381451435
