image,y,x
NI240119_SMI31-488_20x_DMSO_04.czi,118.29207598306891,690.427607826192
NI240119_SMI31-488_20x_DMSO_04.czi,188.99735079994625,228.6788743282176
NI240119_SMI31-488_20x_DMSO_04.czi,365.039055446049,254.65224058747867
NI240119_SMI31-488_20x_DMSO_04.czi,370.8109146147737,361.43163520888527
NI240119_SMI31-488_20x_DMSO_04.czi,411.21392879584647,448.0095227397554
NI240119_SMI31-488_20x_DMSO_04.czi,578.5978446888622,370.08942396197233
NI240119_SMI31-488_20x_DMSO_04.czi,308.7634285509834,351.3308816636171
NI240119_SMI31-488_20x_DMSO_04.czi,685.3772393102688,543.2451990237126
NI240119_SMI31-488_20x_DMSO_04.czi,718.5654295304357,546.1311286080751
NI240119_SMI31-488_20x_DMSO_04.czi,839.774472073654,479.75474816774124
NI240119_SMI31-488_20x_DMSO_04.czi,867.1908031250963,537.473339854988
NI240119_SMI31-488_20x_DMSO_04.czi,758.9684437115085,725.05876283854
NI240119_SMI31-488_20x_DMSO_04.czi,203.42699872175797,846.2678053817584
NI240119_SMI31-488_20x_DMSO_04.czi,748.8676901662403,600.9637907109595
NI240119_SMI31-488_20x_DMSO_04.czi,418.4287527567523,230.12183912039882
NI240119_SMI31-488_20x_DMSO_04.czi,284.2330270839035,805.8647912006855
NI240119_SMI31-488_20x_DMSO_04.czi,132.72172390488063,208.47736723768128
