image,y,x
NI231117_SMI31-488_20x_Glut_01.czi,11.512681361662334,101.69797261627468
NI231117_SMI31-488_20x_Glut_01.czi,33.157153244379884,64.18088801956429
NI231117_SMI31-488_20x_Glut_01.czi,353.4953371085997,106.02686699281821
NI231117_SMI31-488_20x_Glut_01.czi,340.50865397896916,351.3308816636171
NI231117_SMI31-488_20x_Glut_01.czi,230.84332977320017,970.362777509339
NI231117_SMI31-488_20x_Glut_01.czi,516.5503586250719,947.2753408344403
NI231117_SMI31-488_20x_Glut_01.czi,999.9435640057638,551.9029877767997
NI231117_SMI31-488_20x_Glut_01.czi,792.1566339316754,397.5057550134145
NI231117_SMI31-488_20x_Glut_01.czi,725.7802534913416,39.65048655248438
NI231117_SMI31-488_20x_Glut_01.czi,711.3506055695299,313.81379706690666
NI231117_SMI31-488_20x_Glut_01.czi,601.685281363761,690.427607826192
NI231117_SMI31-488_20x_Glut_01.czi,201.98403392957678,761.1328826430694
NI231117_SMI31-488_20x_Glut_01.czi,113.96318435876233,45.42234572120901
NI231117_SMI31-488_20x_Glut_01.czi,730.1091478678851,807.307755992867
