image,y,x
NI231117_SMI31-488_20x_Piox1_01.czi,93.76167451598903,889.5567491471935
NI231117_SMI31-488_20x_Piox1_01.czi,38.92901241310457,889.5567491471935
NI231117_SMI31-488_20x_Piox1_01.czi,220.742576227932,745.2602699290766
NI231117_SMI31-488_20x_Piox1_01.czi,62.016449088003284,595.1919315422348
NI231117_SMI31-488_20x_Piox1_01.czi,782.0558803864072,882.3419251862875
NI231117_SMI31-488_20x_Piox1_01.czi,595.9134221950362,901.1004674846428
NI231117_SMI31-488_20x_Piox1_01.czi,862.8619087485528,791.4351432788739
NI231117_SMI31-488_20x_Piox1_01.czi,976.8561273308652,318.1426914434502
NI231117_SMI31-488_20x_Piox1_01.czi,971.0842681621405,93.04018386318768
NI231117_SMI31-488_20x_Piox1_01.czi,815.2440706065742,75.72460635701361
NI231117_SMI31-488_20x_Piox1_01.czi,668.0616618040948,94.48314865536884
NI231117_SMI31-488_20x_Piox1_01.czi,333.2938300180633,7.905261124498622
NI231117_SMI31-488_20x_Piox1_01.czi,287.11895666826587,6.4622963323174645
NI231117_SMI31-488_20x_Piox1_01.czi,340.50865397896916,101.69797261627468
NI231117_SMI31-488_20x_Piox1_01.czi,445.84508380819454,787.1062489023303
