image,y,x
NI231117_SMI31-488_20x_DMSOx1_05.czi,210.23853282751753,937.7452392449761
NI231117_SMI31-488_20x_DMSOx1_05.czi,429.86319392394046,706.561385459268
NI231117_SMI31-488_20x_DMSOx1_05.czi,470.3203683364394,994.0963036052426
NI231117_SMI31-488_20x_DMSOx1_05.czi,480.43466193956414,956.5289273650651
NI231117_SMI31-488_20x_DMSOx1_05.czi,265.14469810162325,424.8060636579358
NI231117_SMI31-488_20x_DMSOx1_05.czi,174.1160556735006,288.98554955883225
NI231117_SMI31-488_20x_DMSOx1_05.czi,136.548679433323,202.2916043891916
NI231117_SMI31-488_20x_DMSOx1_05.czi,230.46712003376697,63.58129211776662
NI231117_SMI31-488_20x_DMSOx1_05.czi,335.94475332349646,80.92008115169472
NI231117_SMI31-488_20x_DMSOx1_05.czi,307.0467716002829,261.5324669217793
NI231117_SMI31-488_20x_DMSOx1_05.czi,499.21835005965295,660.3246147021262
NI231117_SMI31-488_20x_DMSOx1_05.czi,653.8225522788454,453.70404538114934
NI231117_SMI31-488_20x_DMSOx1_05.czi,692.8348276051837,388.6835865039189
NI231117_SMI31-488_20x_DMSOx1_05.czi,873.4472133752682,1005.6554962945281
NI231117_SMI31-488_20x_DMSOx1_05.czi,970.2554521480337,153.16503545972859
NI231117_SMI31-488_20x_DMSOx1_05.czi,926.9084795632133,167.6140263213353
NI231117_SMI31-488_20x_DMSOx1_05.czi,624.9245705556318,5.785328671339528
NI231117_SMI31-488_20x_DMSOx1_05.czi,665.3817449681308,817.8186150936401
NI231117_SMI31-488_20x_DMSOx1_05.czi,989.0391402681224,364.1203020391874
